,W,bol_total,W_pca_norm,diff
151,0.13894396957587363,1,0.41841417909299783,-0.2794702095171242
152,0.14185287559566576,2,0.42910109436060095,-0.2872482187649352
153,0.06222913002997836,1,0.3375132457228136,-0.27528411569283523
154,0.864137745990513,5,0.8289082778096395,0.03522946818087347
155,0.0853366606278539,1,0.3317895993020599,-0.24645293867420603
156,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
157,0.6376467412122767,4,0.698596755936436,-0.060950014724159285
158,0.023574353522161744,1,0.1675255131611222,-0.14395115963896046
159,0.12233929706172957,4,0.42663887496003194,-0.30429957789830236
160,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
161,0.2377089131154415,5,0.5755573924771947,-0.3378484793617532
162,0.045624457515834264,4,0.3457379415898476,-0.30011348407401334
163,0.2974804352992935,3,0.5286090233747447,-0.23112858807545117
164,0.12399143713567054,3,0.3998071834490385,-0.2758157463133679
165,0.7953638463405265,3,0.9190989001114397,-0.1237350537709132
166,0.3843678749507083,8,0.5780196118777637,-0.19365173692705545
167,0.3843678749507083,3,0.5780196118777637,-0.19365173692705545
168,0.2436928476872836,7,0.49711867850757946,-0.25342583082029585
169,0.3993204073909114,2,0.5966266075217231,-0.19730620013081174
170,0.045624457515834264,5,0.3457379415898476,-0.30011348407401334
171,0.12233929706172957,2,0.42663887496003194,-0.30429957789830236
172,0.00862182108195863,5,0.2508886659318756,-0.24226684484991695
173,0.3993204073909114,6,0.5966266075217231,-0.19730620013081174
174,0.08427923402365088,3,0.4137555257368261,-0.3294762917131752
175,0.3993204073909114,5,0.5966266075217231,-0.19730620013081174
176,0.045624457515834264,3,0.3457379415898476,-0.30011348407401334
177,0.3993204073909114,7,0.5966266075217231,-0.19730620013081174
178,0.2974804352992935,3,0.5286090233747447,-0.23112858807545117
179,0.25864538012748667,6,0.5157256741515388,-0.25708029402405214
180,0.08427923402365088,4,0.4137555257368261,-0.3294762917131752
181,0.2974804352992935,4,0.5286090233747447,-0.23112858807545117
182,0.3623177709570358,2,0.5017773318637512,-0.13945956090671535
183,0.6744550634497618,3,0.7666143400834144,-0.09215927663365264
184,0.9850465288812776,5,0.9813928378376647,0.0036536910436129055
185,0.7215528876691654,2,0.756232040306489,-0.034679152637323685
186,0.20624544351861834,4,0.48427415933008516,-0.2780287158114668
187,0.2436928476872836,3,0.49711867850757946,-0.25342583082029585
188,0.05589841867173391,1,0.2849536858111199,-0.229055267139386
189,0.0,1,0.18287108178489705,-0.18287108178489705
190,0.4726215735368576,4,0.6305791717894573,-0.15795759825259975
191,0.5785778239874191,1,0.7644567361735233,-0.1858789121861042
192,0.8790902784307162,1,0.847515273453599,0.03157500497711718
193,0.260477798865418,1,0.4337597477167726,-0.17328194885135462
194,0.6376467412122767,6,0.698596755936436,-0.060950014724159285
195,0.45057146954318517,1,0.5543368917754447,-0.10376542223225949
196,0.3993204073909114,4,0.5966266075217231,-0.19730620013081174
197,0.4726215735368576,6,0.6305791717894573,-0.15795759825259975
198,0.10028919306805703,3,0.35039659494601927,-0.2501074018779622
199,0.2825279028590904,5,0.5100020277307853,-0.22747412487169488
200,0.0853366606278539,4,0.3317895993020599,-0.24645293867420603
201,0.14604154112934306,4,0.47604946346305105,-0.330007922333708
202,0.6376467412122767,4,0.698596755936436,-0.060950014724159285
203,0.2825279028590904,2,0.5100020277307853,-0.22747412487169488
204,0.4981790862880033,9,0.6728688875357358,-0.17468980124773253
205,0.00862182108195863,2,0.2508886659318756,-0.24226684484991695
206,0.25864538012748667,5,0.43482474078135447,-0.1761793606538678
207,0.3993204073909114,5,0.5966266075217231,-0.19730620013081174
208,0.6376467412122767,3,0.698596755936436,-0.060950014724159285
209,0.030671925075631146,1,0.32713094594588826,-0.2964590208702571
210,0.15680540803586887,3,0.44770809000456036,-0.2909026819686915
211,0.2974804352992935,2,0.5286090233747447,-0.23112858807545117
212,0.5785778239874191,2,0.7644567361735233,-0.1858789121861042
213,0.8790902784307162,1,0.847515273453599,0.03157500497711718
214,0.11980277160199324,1,0.2719578809764039,-0.15215510937441065
215,0.6376467412122767,6,0.698596755936436,-0.060950014724159285
216,0.45057146954318517,1,0.5543368917754447,-0.10376542223225949
217,0.3993204073909114,4,0.5966266075217231,-0.19730620013081174
218,0.4726215735368576,6,0.6305791717894573,-0.15795759825259975
219,0.10028919306805703,3,0.35039659494601927,-0.2501074018779622
220,0.2825279028590904,5,0.5100020277307853,-0.22747412487169488
221,0.00862182108195863,4,0.2508886659318756,-0.24226684484991695
222,0.06932670158344778,4,0.39514853009286677,-0.325821828509419
